Name,Size,Category,Files,FilesSize,Time,Activities,Permissions,Services,Providers,AndroidManifestAnalyzerTime,Earmo,EarmoTime,Kadabra,KadabraTime,Lint,LintTime,ADoctor,ADoctorTime,Paprika,PaprikaTime,Relda2,Relda2Time,EarmoClassification,KadabraClassification,LintClassification,ADoctorClassification,PaprikaClassification,Relda2Classification,Label
com.tailscale.ipn,34.91,Test,15,0.08,64.24018168449402,1,9,6,1,0.020500898361206055,3,21.946881771087646,1,7.212868690490723,0,3.575187921524048,18,0.8176863193511963,194,14.915073871612549,2,3.5765953063964844,1,4,5,4,3,1,C
com.activitymanager,4.04,Test,104,0.88,122.37993884086609,10,3,1,2,0.008947610855102539,0,20.946491718292236,27,12.988474369049072,0,6.63435959815979,105,3.186458110809326,37,19.259098052978516,0,37.74606490135193,5,3,5,4,4,5,A
com.gitlab.ardash.appleflinger.android,10.58,Test,73,0.4,89.26304221153259,1,0,0,0,0.008005619049072266,6,52.23271679878235,6,12.583661317825317,0,3.4645466804504395,38,1.1391019821166992,1,9.011238813400269,4,2.3577256202697754,1,4,5,4,4,1,C
com.simplemobiletools.gallery.pro,26.89,Test,1326,8.66,1955.0920746326447,23,10,2,3,0.018555879592895508,429,1649.9011533260345,0,11.582064867019653,0,14.275760650634766,1327,47.12005114555359,1707,44.13991665840149,18,159.13358759880066,1,5,5,1,1,1,D
im.quicksy.client,21.63,Test,1783,9.38,1729.0274460315704,35,40,4,3,0.01073145866394043,534,1239.0145027637482,993,280.41998982429504,1,17.093902587890625,1214,35.79149866104126,810,25.156852960586548,51,105.01392030715942,1,1,1,1,1,1,G
it.danieleverducci.ojo,52.12,Test,43,0.75,180.89511895179749,2,2,0,1,0.008134841918945312,14,93.23934125900269,11,12.143290042877197,0,6.376744985580444,48,1.6812832355499268,881,25.674849033355713,1,18.329106092453003,1,4,5,4,1,1,D
com.android.gpstest.osmdroid,4.83,Test,857,5.36,633.704128742218,4,7,1,2,0.008376359939575195,201,458.56377148628235,0,58.05329418182373,0,10.091182231903076,508,14.849758386611938,781,22.68800926208496,0,43.99602437019348,1,5,5,2,1,5,C
com.tutpro.baresip,20.4,Test,81,1.95,240.6375596523285,14,22,2,1,0.007982730865478516,29,109.74640560150146,81,26.30730438232422,1,7.208790063858032,76,12.170722961425781,1752,36.81972885131836,17,22.298444032669067,1,1,1,4,1,1,F
com.bnyro.translate,14.54,Test,104,0.4,180.24590063095093,1,3,1,1,0.008747100830078125,14,75.77280616760254,63,14.423982858657837,0,4.779938220977783,116,2.1344969272613525,14,19.858813047409058,1,44.39855098724365,1,1,5,4,4,1,D
com.bagaturchess,10.39,Test,925,5.11,160.9571099281311,13,2,0,0,0.008620500564575195,0,19.155133724212646,0,80.43344521522522,0,9.50951623916626,551,17.959150075912476,105,13.47956657409668,9,7.711528539657593,5,5,5,2,4,1,B
